Index,TEMPLATE_PLATE,TEMPLATE_WELL,TEMPLATE_VOLUME,PRIMER1_PLATE,PRIMER1_WELL,PRIMER1_VOLUME,PRIMER2_PLATE,PRIMER2_WELL,PRIMER2_VOLUME,PCR_MIX_PLATE,PCR_MIX_WELL,PCR_MIX_VOLUME,OUTPUT_PLATE,OUTPUT_WELL,REACTION_NUMBER,OPTIMAL_ANNEALING_TEMP,THERMOCYCLER_BLOCK,THERMOCYCLER_ZONE,THERMOCYCLER_ZONE_ANNEALING_TEMP,EXPECTED_SIZE
7,templates_plate,B14,0.6,oligos_plate,N02,0.3,oligos_plate,B02,0.3,PCR_mix_tubes,A01,1.8,assemblytoautomate_PCR_plate_1,G01,19,63.1,0,0,62.9,2639
20,templates_plate,I13,0.6,oligos_plate,O01,0.3,oligos_plate,P01,0.3,PCR_mix_tubes,A01,1.8,assemblytoautomate_PCR_plate_1,A11,10,69.8,0,5,69.8,2668
2,templates_plate,H13,0.6,oligos_plate,M01,0.3,oligos_plate,N01,0.3,PCR_mix_tubes,A01,1.8,assemblytoautomate_PCR_plate_1,B01,9,62.7,0,0,62.9,2563
